"","siteid","sitename","primary","datasetid","publicationid","pubtypeid","pubtype","year","citation","articletitle","journal","volume","issue","pages","citationnumber","doi","booktitle","numvolumes","edition","volumetitle","seriestitle","seriesvolume","publisher","url","city","state","country","originallanguage","notes","author_order","author_familyname","author_givennames"
"49","5203","Catfish Creek [8SO608]",NA,"6501","1711","0","Legacy","1989","Austin, R. J., and M. Russo. 1989. Limited excavation at the Catfish Creek site (8SO608), Sarasota County, Florida. Ms. on file, Piper Archaeological Research Inc., St. Petersburg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Austin","R. J."
"50","5203","Catfish Creek [8SO608]",NA,"6501","1711","0","Legacy","1989","Austin, R. J., and M. Russo. 1989. Limited excavation at the Catfish Creek site (8SO608), Sarasota County, Florida. Ms. on file, Piper Archaeological Research Inc., St. Petersburg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Russo","M."
"51","5141","Hornsville [8JA387]",NA,"6425","1768","0","Legacy","1984","Benson, L., and R. Allen. 1984. Preliminary investigations at the Hornsville site (8Ja387) in Jackson County, Florida. Florida Anthropologist 37(2):75-82.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Benson","L."
"52","5141","Hornsville [8JA387]",NA,"6425","1768","0","Legacy","1984","Benson, L., and R. Allen. 1984. Preliminary investigations at the Hornsville site (8Ja387) in Jackson County, Florida. Florida Anthropologist 37(2):75-82.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Allen","R."
"53","5135","Bay West [8CR200]",NA,"6419","1774","0","Legacy","1981","Beriault, J., R. Carr, J. Stopp, R. Johnson, and J. Meeder. 1981. The archeological salvage of the Bay West site, Collier County, Florida. Florida Anthropologist 34(2):39-58.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Beriault","J."
"54","5135","Bay West [8CR200]",NA,"6419","1774","0","Legacy","1981","Beriault, J., R. Carr, J. Stopp, R. Johnson, and J. Meeder. 1981. The archeological salvage of the Bay West site, Collier County, Florida. Florida Anthropologist 34(2):39-58.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Carr","R."
"55","5135","Bay West [8CR200]",NA,"6419","1774","0","Legacy","1981","Beriault, J., R. Carr, J. Stopp, R. Johnson, and J. Meeder. 1981. The archeological salvage of the Bay West site, Collier County, Florida. Florida Anthropologist 34(2):39-58.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","Stopp","J."
"56","5135","Bay West [8CR200]",NA,"6419","1774","0","Legacy","1981","Beriault, J., R. Carr, J. Stopp, R. Johnson, and J. Meeder. 1981. The archeological salvage of the Bay West site, Collier County, Florida. Florida Anthropologist 34(2):39-58.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","Johnson","R."
"57","5135","Bay West [8CR200]",NA,"6419","1774","0","Legacy","1981","Beriault, J., R. Carr, J. Stopp, R. Johnson, and J. Meeder. 1981. The archeological salvage of the Bay West site, Collier County, Florida. Florida Anthropologist 34(2):39-58.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Meeder","J."
"58","5173","Eichelberger Cave",NA,"6469","1822","0","Legacy","1956","Brodkorb, P. 1956. Pleistocene birds from Eichelberger Cave, Florida. Auk 73:136.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Brodkorb","Pierce"
"59","5174","Reddick 1A",NA,"6470","1823","0","Legacy","1959","Brodkorb, P. 1959. The Pleistocene avifauna of Arredondo, Florida. Bulletin of the Florida State Museum Biological Sciences 4:269-291.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Brodkorb","Pierce"
